image_id,hotel_id,image_path,hotel_UUID,image_UUID
hotelimage_400,hotel_400,new_hotels_images/hotel_400.jpg,57bb73a2-7161-4c8d-9fe9-3a122e2ca6d2,8a45a445-c5ee-4ca7-94b2-f42ca71061bb
hotelimage_401,hotel_401,new_hotels_images/hotel_401.jpg,ec14315e-79df-4893-a6fc-2e8454e37a2c,f6e61285-e252-455a-a929-f58e5b2fa0f4
hotelimage_402,hotel_402,new_hotels_images/hotel_402.jpg,650d8aca-54c0-49af-aa17-fa678b43611d,6788214b-3198-4cb0-8955-bcac366328c4
hotelimage_403,hotel_403,new_hotels_images/hotel_403.jpg,a3d1995c-40c1-48f3-948e-b46a9f5da4ee,32d6267b-de6e-48a4-8cf2-d9636ce89434
hotelimage_404,hotel_404,new_hotels_images/hotel_404.jpg,80f0e5d3-9766-4e93-a66f-767d3f7679d7,d6f4938f-4957-4beb-89ec-1dcc843aa04d
hotelimage_405,hotel_405,new_hotels_images/hotel_405.jpg,c9b98d40-e7ce-41d7-a012-0c5ee1c013af,f4bbf49c-586d-4bbd-b855-82b324a12884
hotelimage_406,hotel_406,new_hotels_images/hotel_406.jpg,0a963226-0df9-4c7a-9cd0-0a43e45d3f54,2266c339-5d46-4e63-ac5b-73aa0a67d305
hotelimage_407,hotel_407,new_hotels_images/hotel_407.jpg,e1da09eb-7b44-408d-b250-f32da551dbf9,9c5a41f1-9693-451d-b0ec-40fb501a6dd5
hotelimage_408,hotel_408,new_hotels_images/hotel_408.jpg,71ee0934-1d6c-44c3-a2e9-4acab0008c64,b62e3b67-a173-46b1-9d14-82c22e216e1f
hotelimage_409,hotel_409,new_hotels_images/hotel_409.jpg,24f0821f-1737-4644-989a-582f30a14f61,d7149e42-d37f-4272-96e1-16cea56d6518
hotelimage_410,hotel_410,new_hotels_images/hotel_410.jpg,ed3cdfa4-d257-499a-9410-d90571159b8a,daca2d98-5689-4c24-bd29-245d06723684
hotelimage_412,hotel_412,new_hotels_images/hotel_412.jpg,bc7b2385-e7fc-47d6-9976-69e8ae4bce70,eccb628c-c6fe-4563-9f38-98d0a277a72d
hotelimage_413,hotel_413,new_hotels_images/hotel_413.jpg,2b301109-084f-411f-80f1-98f50948b41c,e4305306-a9f4-4393-a08e-6a3e7ae10c26
hotelimage_414,hotel_414,new_hotels_images/hotel_414.jpg,6eb45111-a49d-4661-ab92-7478235ed670,b9ee358a-f203-4ec9-b66b-b6bd6b2d795d
hotelimage_415,hotel_415,new_hotels_images/hotel_415.jpg,346ea3b4-c419-43c9-aaab-30d934e1df9a,9139fd81-6827-4570-990d-8e4f8213a81e
hotelimage_416,hotel_416,new_hotels_images/hotel_416.jpg,48c73e40-38a6-427f-b99d-55451f876fd4,e0897c0f-3b24-46fd-b885-5917454ddd27
hotelimage_417,hotel_417,new_hotels_images/hotel_417.jpg,3c595962-d03b-42f3-8f96-a89691b1b045,385a1578-8cc6-405d-92bb-ff5098193d7b
hotelimage_418,hotel_418,new_hotels_images/hotel_418.jpg,b24e97ae-38dd-411c-8a22-9ca472177dbf,8a8f10b6-778f-4531-91e9-06d0890ad818
hotelimage_419,hotel_419,new_hotels_images/hotel_419.jpg,532e4af4-fad7-496a-8bff-cb541109a727,004e2779-4aa3-489e-9321-7988a2556c24
hotelimage_420,hotel_420,new_hotels_images/hotel_420.jpg,f51299c6-0e02-4965-96c5-bf6ad20bc639,39c8f17e-55dd-43ac-96dd-2927d74ae1b9
hotelimage_421,hotel_421,new_hotels_images/hotel_421.jpg,6d199fe4-7482-4f5d-8df0-fdeecde1accf,38714495-6af8-4d87-8120-b087533e5970
